frame,kp_prev,kp_curr,matches,inliers,success
1,1132,1133,250,52,True
2,1133,1109,250,9,False
3,1109,1118,250,23,False
4,1118,1119,250,22,False
5,1119,1134,250,58,True
6,1134,1129,250,54,True
7,1129,1135,250,45,True
8,1135,1131,250,63,True
9,1131,1182,250,70,True
10,1182,1195,250,140,True
11,1195,1179,250,51,True
12,1179,1194,250,75,True
13,1194,1194,250,15,False
14,1194,1171,250,49,True
15,1171,1151,250,20,False
16,1151,1122,250,62,True
17,1122,1099,250,13,False
18,1099,1122,250,49,True
19,1122,1147,250,126,True
20,1147,1180,250,135,True
21,1180,1135,250,52,True
22,1135,1171,250,82,True
23,1171,1144,250,88,True
24,1144,1186,250,77,True
25,1186,1238,250,63,True
26,1238,1245,250,103,True
27,1245,1286,250,68,True
28,1286,1310,250,179,True
29,1310,1321,250,116,True
30,1321,1357,250,83,True
31,1357,1393,250,6,False
32,1393,1417,250,28,False
33,1417,1426,250,96,True
34,1426,1420,250,74,True
35,1420,1385,250,91,True
36,1385,1348,250,148,True
37,1348,1371,250,132,True
38,1371,1399,250,100,True
39,1399,1384,250,181,True
40,1384,1395,250,94,True
41,1395,1387,250,159,True
42,1387,1383,250,106,True
43,1383,1394,250,48,True
44,1394,1376,250,122,True
45,1376,1368,250,135,True
46,1368,1390,250,50,True
47,1390,1349,250,43,True
48,1349,1373,250,128,True
49,1373,1323,250,53,True
50,1323,1359,250,52,True
51,1359,1371,250,86,True
52,1371,1406,250,77,True
53,1406,1404,250,60,True
54,1404,1404,250,79,True
55,1404,1435,250,79,True
56,1435,1481,250,41,True
57,1481,1453,250,55,True
58,1453,1450,250,19,False
59,1450,1485,250,41,True
60,1485,1463,250,40,True
61,1463,1453,250,16,False
62,1453,1448,250,19,False
63,1448,1471,250,19,False
64,1471,1494,250,80,True
65,1494,1504,250,111,True
66,1504,1552,250,120,True
67,1552,1556,250,45,True
68,1556,1542,250,87,True
69,1542,1550,250,122,True
70,1550,1562,250,96,True
71,1562,1497,250,88,True
72,1497,1500,250,119,True
73,1500,1548,250,120,True
74,1548,1499,250,134,True
75,1499,1493,250,129,True
76,1493,1463,250,167,True
77,1463,1428,250,209,True
78,1428,1317,250,88,True
79,1317,1273,250,122,True
80,1273,1208,250,204,True
81,1208,1201,250,102,True
82,1201,1138,250,141,True
83,1138,1082,250,131,True
84,1082,997,250,234,True
85,997,953,250,100,True
86,953,950,250,216,True
87,950,960,250,135,True
88,960,938,250,249,True
89,938,950,250,194,True
90,950,946,250,97,True
91,946,956,250,126,True
92,956,960,250,115,True
93,960,931,250,109,True
94,931,932,250,214,True
95,932,920,250,199,True
96,920,975,250,188,True
97,975,959,250,171,True
98,959,945,250,222,True
99,945,971,250,112,True
100,971,918,250,204,True
101,918,953,250,84,True
102,953,939,250,224,True
103,939,936,250,85,True
104,936,887,250,128,True
105,887,885,250,176,True
106,885,909,250,129,True
107,909,894,250,74,True
108,894,873,250,188,True
109,873,855,250,70,True
110,855,836,250,79,True
111,836,816,250,139,True
112,816,810,250,39,True
113,810,849,250,85,True
114,849,829,250,136,True
115,829,841,250,76,True
116,841,856,250,77,True
117,856,821,250,162,True
118,821,825,250,84,True
119,825,846,250,18,False
120,846,859,250,105,True
121,859,829,250,40,True
122,829,815,250,36,True
123,815,797,250,45,True
124,797,785,250,106,True
125,785,769,250,19,False
126,769,753,250,47,True
127,753,740,250,54,True
128,740,774,250,109,True
129,774,733,250,38,True
130,733,728,250,132,True
131,728,745,250,89,True
132,745,746,250,136,True
133,746,752,250,80,True
134,752,748,250,120,True
135,748,788,250,132,True
136,788,811,250,214,True
137,811,860,250,186,True
138,860,877,250,73,True
139,877,869,250,77,True
140,869,857,250,56,True
141,857,903,250,141,True
142,903,874,250,240,True
143,874,912,250,122,True
144,912,880,250,126,True
145,880,925,250,147,True
146,925,930,250,169,True
147,930,948,250,120,True
148,948,965,250,206,True
149,965,987,250,139,True
150,987,984,250,242,True
151,984,1004,250,120,True
152,1004,1004,250,228,True
153,1004,949,250,149,True
154,949,1055,250,185,True
155,1055,1050,250,202,True
156,1050,1058,250,199,True
157,1058,1087,250,110,True
158,1087,1154,250,239,True
159,1154,1181,250,112,True
160,1181,1212,250,151,True
161,1212,1259,250,211,True
162,1259,1338,250,193,True
163,1338,1356,250,194,True
164,1356,1353,250,111,True
165,1353,1401,250,108,True
166,1401,1296,250,124,True
167,1296,1231,250,219,True
168,1231,1268,250,160,True
169,1268,1282,250,142,True
170,1282,1244,250,215,True
171,1244,1226,250,173,True
172,1226,1215,250,108,True
173,1215,1211,250,136,True
174,1211,1285,250,171,True
175,1285,1315,250,46,True
176,1315,1323,250,105,True
177,1323,1387,250,87,True
178,1387,1441,250,71,True
