frame,matches,corr_3d2d,inliers,success,pnp_success,pnp_inliers,t_norm,rot_angle,reproj_rmse
1,200,186,173,True,True,173,0.008277451382655551,0.3511180964216542,0.5193501388740841
2,200,186,173,True,True,173,0.0024733700322081614,0.7264069450256296,0.7202313959577297
3,200,192,175,True,True,175,0.007431979844905654,0.717462724845757,0.8152403227764751
4,200,192,184,True,True,184,0.0044870455198027116,0.46271656969607117,0.549579010290702
5,200,191,182,True,True,182,0.003498175336292014,0.19348570590868458,0.49495952822197997
6,200,185,173,True,True,173,0.00550812851299284,0.47509703585318663,0.7656583212196096
7,200,189,171,True,True,171,0.003991797766523333,0.4793815218028203,0.7551975060575613
8,200,189,184,True,True,184,0.005921398541711613,0.24762456030871616,0.506290742829864
9,200,184,174,True,True,174,0.006718579753565158,0.3543605656923225,0.5967287299806218
10,200,186,175,True,True,175,0.0025409182066972627,0.6866953824523031,0.7533009951153546
11,200,190,178,True,True,178,0.00533358504301012,1.0601328745520493,0.7438093587605881
12,200,182,174,True,True,174,0.006992203819007129,0.5257094751416994,0.6944035306584343
13,200,182,156,True,True,156,0.012322895037464861,0.9397366971493026,0.7698691781347082
14,200,192,155,True,True,155,0.008529310028715702,0.6939340409204262,0.7334091925878515
15,200,197,196,True,True,196,0.003742356738464074,0.09530376620523276,0.23235652797697856
16,200,198,198,False,False,198,0.0005976620804868821,0.01357512536757449,
17,200,191,178,True,True,178,0.006475644939714649,0.3956027951298565,0.5791595772927063
18,200,195,189,True,True,189,0.004746619803318219,0.342870427116952,0.6541672336472054
19,200,190,184,True,True,184,0.005443773951338546,0.2573398805499728,0.5668304717694772
20,200,193,186,True,True,186,0.008280254339023962,0.5935431939689115,0.6783015875638598
21,200,194,186,True,True,186,0.003492231571813296,0.41831762666033606,0.5375916635559272
22,200,193,188,True,True,188,0.0062314418559519065,0.4647120450137708,0.5016455152388992
23,200,193,183,True,True,183,0.0028969265564600874,0.4508371294466328,0.6039970226180172
24,200,194,182,True,True,182,0.00440184591994219,0.6405734951280361,0.731523109796495
25,200,197,195,False,False,195,0.00036906875039941937,0.007854805062976969,
26,200,193,191,True,True,191,0.003991860637065465,0.09817034194729918,0.1506293876510268
27,200,191,176,True,True,176,0.0023560253000591124,0.09357995382860661,0.43621373094330074
28,200,191,176,True,True,176,0.007985773565522873,0.5163144663942938,0.6618667276918773
29,200,190,181,True,True,181,0.006685628535649689,0.1644953947114534,0.42708162579585657
30,200,189,180,True,True,180,0.007145612808554628,0.26108406660967526,0.4648332174705762
31,200,194,189,True,True,189,0.00254928836164811,0.20522824693666034,0.290424387858789
32,200,186,181,True,True,181,0.004575577358650786,0.15154627339736798,0.34066812266977914
33,200,178,167,True,True,167,0.0034194355980326258,0.22058891206525075,0.6635446028153701
34,200,190,178,True,True,178,0.0031700713648935308,0.19076676617040686,0.6090213198656994
35,200,191,180,True,True,180,0.0031695674420059916,0.11545255863529606,0.4778529918499599
36,200,186,172,True,True,172,0.005017170002574862,0.3729083575294287,0.6190140564809493
37,200,183,173,True,True,173,0.005161977942234366,0.37467218321966983,0.5473100664837283
38,200,188,174,True,True,174,0.0105048164187774,0.3913133549610049,0.5172448698483408
39,200,192,187,True,True,187,0.009611659795680771,0.270392635668874,0.3896099042003142
40,200,191,173,True,True,173,0.005143124931441191,0.10122098503477346,0.44446870861535975
41,200,181,164,True,True,164,0.002991567140203587,0.5130143670251316,0.7168839443631448
42,200,187,160,True,True,160,0.004482518981077292,1.0739070292913138,0.8342651914991697
43,200,188,163,True,True,163,0.007544460109063692,1.3087211350387573,0.8404242627440117
44,200,185,163,True,True,163,0.0024481147800002163,0.6634621315405778,0.79041542927899
45,200,191,183,True,True,183,0.00322297005187308,0.0755017368062586,0.3432542610162141
46,200,183,173,True,True,173,0.004698793287502448,0.865576867861904,0.6923540891946004
47,200,182,162,True,True,162,0.012335131160256836,1.0077636117511883,0.8437369893682359
48,200,182,165,True,True,165,0.00208539446039916,0.7161265623177558,0.7606576054120271
49,200,189,178,True,True,178,0.007340504902016837,0.2372452073057251,0.4479231586110148
50,200,187,171,True,True,171,0.0023171849846599915,0.5631560770691078,0.7140227289535663
51,200,187,175,True,True,175,0.005061230632889712,0.3148119688823253,0.581187047552533
52,200,193,187,True,True,187,0.0037668137490312554,0.06820935991319717,0.3384244072247907
53,200,187,162,True,True,162,0.013793486934262788,0.560303355101023,0.6810724331168425
54,200,192,175,True,True,175,0.007582109887347642,0.45264619353972996,0.6651497738961004
55,200,189,180,True,True,180,0.0045045656334001,0.17545436811403267,0.43358105912329825
56,200,193,184,True,True,184,0.0012888824480899554,0.08362759110447758,0.2809152093280205
57,200,187,182,True,True,182,0.0066461349393028635,0.17311032571661517,0.5018749871867754
58,200,185,172,True,True,172,0.005307845250772151,0.23404426274386608,0.5572919954873199
59,200,190,178,True,True,178,0.004663129458530113,0.273025799281804,0.5905570959132035
60,200,189,184,True,True,184,0.004006691156459778,0.10231590005238085,0.34616728280757164
61,200,188,170,True,True,170,0.005858771230491694,0.25944148289241703,0.7241437728223598
62,200,197,188,False,False,188,0.0009791329979601184,0.0305622383875343,
63,200,191,179,True,True,179,0.007366877872484572,0.2917088294875889,0.5520453292216968
64,200,185,159,True,True,159,0.0032412198280839847,0.30685709755805785,0.7612640103114882
65,200,187,167,True,True,167,0.006649997190053414,0.34674746154836006,0.6037643010192222
66,200,190,183,True,True,183,0.005884726522249592,0.1597921273358912,0.3713421418136685
67,200,196,188,True,True,188,0.004460594958093748,0.10248372600160924,0.24588601034447674
68,200,186,174,True,True,174,0.007051428025499181,0.2802265080470991,0.5325108377217936
69,200,183,164,True,True,164,0.010274503047335286,0.40755295934256863,0.6772013255807525
70,200,184,171,True,True,171,0.007033587812124856,0.5383161759585932,0.6976148417925385
71,200,182,154,True,True,154,0.004859363611888635,0.46784878148579934,0.6437180891149009
72,200,193,183,True,True,183,0.0024259173868491266,0.1773765861944228,0.38535983816576447
73,200,186,176,True,True,176,0.008169493072940532,0.2530255086257206,0.4644651560147454
74,200,184,163,True,True,163,0.0062949050115321545,0.38953837284440856,0.51395302944384
75,200,185,166,True,True,166,0.004910047473093714,0.4275386566934472,0.738435398614719
76,200,182,157,True,True,157,0.012246474028683627,0.8698980112692981,0.8130308235778574
77,200,187,164,True,True,164,0.006872759775451883,0.8598487992644653,0.7213317855385007
78,200,188,165,True,True,165,0.005580532958006903,0.6271038724151093,0.711436676156167
79,200,194,185,True,True,185,0.006115882386548434,0.16014692014539655,0.2948980571097909
80,200,179,153,True,True,153,0.005265260328779154,0.4432496812388282,0.6453813857868462
81,200,182,167,True,True,167,0.005694634780714816,0.34417826955784225,0.6986755572775093
82,200,190,176,True,True,176,0.005421267551220464,0.26634586440061886,0.530989298084035
83,200,183,157,True,True,157,0.002344636064957237,0.45362230575031387,0.6573005327115473
84,200,177,152,True,True,152,0.010300127085349997,0.7376432939140704,0.6836772096369653
85,200,194,180,True,True,180,0.004950430918763319,0.2320707101534618,0.29902484733010065
86,200,190,181,True,True,181,0.01064498283308593,0.34950885033861645,0.4371991528103446
87,200,180,165,True,True,165,0.005730103442388131,0.4391059720456672,0.7302833684244311
88,200,191,173,True,True,173,0.0063467641544954455,0.9193168617729744,0.7028446208060354
89,200,191,167,True,True,167,0.006846530536646158,0.9922746422914709,0.7503532785469106
90,200,182,161,True,True,161,0.0066711077029660655,0.8332619269601115,0.8249069032019005
91,200,190,166,True,True,166,0.0065746309195466495,0.45770552585036867,0.8037811824516982
92,200,190,163,True,True,163,0.010356507532002712,0.6200423319968377,0.8242814606950426
93,200,187,166,True,True,166,0.012169648169375368,0.7028286270714534,0.8409748564287001
94,200,195,183,True,True,183,0.014103158314297466,0.5573652726480749,0.7941514128283299
95,200,187,153,True,True,153,0.019213637424213875,0.9304992630572068,0.8781868688353248
96,200,187,158,True,True,158,0.018521840988498465,0.8978799858002603,0.8367536448264482
97,200,184,167,True,True,167,0.017697214566562033,0.8067631512609825,0.8197557011031975
98,200,177,144,True,True,144,0.021411961157338982,0.4748187448045926,0.9203521767546431
99,200,184,164,True,True,164,0.020593056835452567,0.6167846890668827,0.7664430492959831
100,200,189,156,True,True,156,0.015167837230750386,0.8739254578280855,0.873607544218009
101,200,187,156,True,True,156,0.02234190780659734,1.1156687288613316,0.9067669460663929
102,200,189,163,True,True,163,0.02491122341392897,0.975690782597487,0.8807160955277071
103,200,185,155,True,True,155,0.023951657334472718,0.6821797031039134,0.7419217531106221
104,200,183,148,True,True,148,0.03593705139271029,0.7701394279677476,0.7654004562644721
105,200,183,150,True,True,150,0.03604233950814454,0.8898501958785113,0.9258413762687021
106,200,183,160,True,True,160,0.028566248211610187,0.6043572425227298,0.7892173842582973
107,200,190,163,True,True,163,0.028584028397834697,0.6726707998770701,0.7664427582485402
108,200,187,175,True,True,175,0.025297247204026974,0.6671557368425048,0.8458084199654395
109,200,189,169,True,True,169,0.02678876111871958,0.744870139541362,0.7572898577470591
110,200,189,167,True,True,167,0.024250828111232043,0.6194212753096883,0.7922918974506366
111,200,189,170,True,True,170,0.023467556089893846,0.7867769009000779,0.7805108145218199
112,200,192,174,True,True,174,0.02306455072321963,1.165971284894822,0.7318236142739506
113,200,192,173,True,True,173,0.020580436956210816,1.0253699094807387,0.8588068071023108
